canonical_smiles,MW,cLogP,HBD,HBA,TPSA,QED,SA_score,scaffold,has_hydroxyl,has_amine,has_carbonyl,has_amide,has_halogen_F,has_halogen_Cl,has_halogen_Br,has_aromatic_ring,has_piperidine,has_piperazine,has_morpholine
O=C(c1ccc2ccccc2c1)c1cn(-c2ccccc2)nc1C1=Nn2c(Cc3nnc4n3N=C(c3nn(-c5ccccc5)cc3C(=O)c3ccc5ccccc5c3)CS4)nnc2SC1,885.011,8.316400000000005,0,12,155.91999999999996,0.12249629262458052,3.846309063106924,O=C(c1ccc2ccccc2c1)c1cn(-c2ccccc2)nc1C1=Nn2c(Cc3nnc4n3N=C(c3nn(-c5ccccc5)cc3C(=O)c3ccc5ccccc5c3)CS4)nnc2SC1,False,False,True,False,False,False,False,True,False,False,False
O=C(Cc1ccc(B2C=CC=CN2)cc1)Nc1cc(C2CC2)[nH]n1,318.1890000000001,1.8791,3,3,69.81,0.737391140402325,3.3894018149790295,O=C(Cc1ccc(B2C=CC=CN2)cc1)Nc1cc(C2CC2)[nH]n1,False,True,True,True,False,False,False,True,False,False,False
Cc1cc(N2CCCS2(=O)=O)c2oc(-c3ccc(O)c(O)c3)c(O)c(=O)c2c1,403.41200000000015,2.4251200000000015,3,7,128.28,0.5606272971711116,2.888185366840485,O=c1cc(-c2ccccc2)oc2c(N3CCCS3(=O)=O)cccc12,True,False,False,False,False,False,False,True,False,False,False
Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1C1CCC(C)CC1,574.6800000000001,5.416020000000005,1,7,92.07,0.3290199463838988,3.2372982751510033,c1cc(-c2ccc3ncn(C4CCCCC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,False,True,True,True,True,False,False,True,False,False,False
N#Cc1ccc2c(CCNc3ccc(S(F)(F)(F)(F)F)cc3C(=O)O)c[nH]c2c1,431.3860000000001,6.049780000000002,3,3,88.91,0.4146994996653977,3.0723708611512164,c1ccc(NCCc2c[nH]c3ccccc23)cc1,True,True,True,False,True,False,False,True,False,False,False
O=C1Nc2ccc(Cl)cc2/C1=C/c1[nH]cc2c1CCOC2=O,314.7280000000001,2.8737000000000004,2,3,71.19,0.6278093095202851,2.8844310494944487,O=C1Nc2ccccc2/C1=C/c1[nH]cc2c1CCOC2=O,False,False,True,True,False,True,False,True,False,False,False
Cc1[nH]nc2c1N=C(c1ccccc1Cl)c1cc(N)ccc1N2,323.78700000000003,4.179820000000001,3,4,79.09,0.4596721625638218,2.8586048079388693,c1ccc(C2=Nc3c[nH]nc3Nc3ccccc32)cc1,False,True,False,False,False,True,False,True,False,False,False
CN(C)CCN(C)c1ccc2cc1COC/C=C/COCc1cccc(c1)-c1ccnc(n1)N2,459.5940000000002,4.488000000000003,1,7,62.75,0.5770165159318771,5.022240890075403,C1=C/COCc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)COC/1,False,True,False,False,False,False,False,True,False,False,False
Nc1nc(-c2cc(N3C[C@H](O)[C@@H](O)C3)ccc2O)cc(C2CCCCCC2)n1,384.4800000000003,2.4110000000000005,4,7,115.73,0.600642595185137,3.430868897351427,c1cc(-c2cc(C3CCCCCC3)ncn2)cc(N2CCCC2)c1,True,True,False,False,False,False,False,True,False,False,False
CSc1ncc2c(n1)CCc1cnc(Nc3ccc(C(=O)N(C)CCN(C)C)cc3)nc1-2,449.5840000000003,3.1313000000000013,1,8,87.14,0.4348776749131016,2.7742520213477544,c1ccc(Nc2ncc3c(n2)-c2cncnc2CC3)cc1,False,True,True,True,False,False,False,True,False,False,False
COC1CCN(c2nccc(Nc3cc4[nH]c(-c5cn[nH]c5)nc4cn3)n2)CC1,391.43900000000014,2.4968000000000004,3,8,120.52999999999999,0.4744980015347146,3.015273329392424,c1cc(Nc2cc3[nH]c(-c4cn[nH]c4)nc3cn2)nc(N2CCCCC2)n1,False,True,False,False,False,False,False,True,True,False,False
O=C(Nc1cc(C2CCC2)[nH]n1)c1ccc(Br)cc1,320.19,3.692000000000002,2,2,57.78,0.9059638257511397,2.0965386871142613,O=C(Nc1cc(C2CCC2)[nH]n1)c1ccccc1,False,False,True,True,False,False,True,True,False,False,False
CC[C@@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)[C@H](C)O,369.4730000000001,2.985600000000002,3,7,100.78,0.5609738333846452,3.4282355533931828,c1cncc(CNc2ncnc3[nH]cnc23)c1,True,True,False,False,False,False,False,True,False,False,False
O=C(Nc1ccc(F)cc1)c1n[nH]cc1NC(=O)C1CCCCC1,330.3630000000002,3.3199000000000023,3,3,86.88,0.8034746333925756,2.337957887602059,O=C(Nc1ccccc1)c1n[nH]cc1NC(=O)C1CCCCC1,False,False,True,True,True,False,False,True,False,False,False
COC(=N)c1nc2ccc3ncnc(Nc4ccc(Cl)cc4Cl)c3c2s1,404.28200000000015,5.261670000000001,2,7,83.78,0.3594412753584903,2.8621827119168817,c1ccc(Nc2ncnc3ccc4ncsc4c23)cc1,False,True,False,False,False,True,False,True,False,False,False
CCC(Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)C(O)C(F)(F)F,423.4430000000001,3.5280000000000027,3,7,100.78,0.5095601659572936,3.6088943798662516,c1cncc(CNc2ncnc3[nH]cnc23)c1,True,True,False,False,True,False,False,True,False,False,False
CNCC(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C6CCC(C)CC6)c5c4)n3)ccc2C1,560.6530000000002,5.073820000000005,2,7,100.86,0.33948745765734356,3.2358791457055336,c1cc(-c2ccc3ncn(C4CCCCC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,False,True,True,True,True,False,False,True,False,False,False
O=C(c1ccc2ccccc2c1)c1cn(-c2ccccc2)nc1C1=Nn2c(S)nnc2SC1,468.5670000000002,4.494800000000003,1,7,77.96,0.31053445486196546,2.940514161972267,O=C(c1ccc2ccccc2c1)c1cn(-c2ccccc2)nc1C1=Nn2cnnc2SC1,False,False,True,False,False,False,False,True,False,False,False
CN(C)C/C=C/C(=O)Nc1ccc(C(=O)N2CCC[C@@H](Nc3ncc(SCc4ncc(C(C)(C)C)o4)s3)C2)cc1,582.7960000000002,5.493900000000005,2,9,103.60000000000001,0.23886073049701165,3.5534104946790404,O=C(c1ccccc1)N1CCC[C@@H](Nc2ncc(SCc3ncco3)s2)C1,False,True,True,True,False,False,False,True,True,False,False
Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)[C@H](C)N(C)C)C5)ncc3F)cc2n1C1CC1,532.5990000000002,4.388220000000003,1,7,92.07,0.3938827208512511,3.645613374800517,c1cc(-c2ccc3ncn(C4CC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,False,True,True,True,True,False,False,True,False,False,False
CN(C)C/C=C/C(=O)Nc1ccc(C(=O)N2CCCC(Nc3ncc(SCc4ncc(C(C)(C)C)o4)s3)C2)cc1,582.7960000000002,5.493900000000005,2,9,103.60000000000001,0.23886073049701165,3.5534104946790404,O=C(c1ccccc1)N1CCCC(Nc2ncc(SCc3ncco3)s2)C1,False,True,True,True,False,False,False,True,True,False,False
CCN(CC)[C@H]1CC[C@H](Nc2cc(Nc3ccc(S(=O)(=O)N(C)C)cc3)n3ncc(C(C)C)c3n2)CC1,527.7390000000001,4.911500000000004,2,7,94.86999999999999,0.3867461933161403,2.9035654285629384,c1ccc(Nc2cc(NC3CCCCC3)nc3ccnn23)cc1,False,True,False,False,False,False,False,True,False,False,False
COc1cc(F)c(C(=O)c2c(N)nc3ccc(C(=O)c4c(F)cccc4F)cn23)c(F)c1,443.3560000000001,3.943500000000002,1,5,86.69,0.37303782951290776,2.81649845568265,O=C(c1ccccc1)c1ccc2ncc(C(=O)c3ccccc3)n2c1,False,True,True,False,True,False,False,True,False,False,False
COC1CCN(c2nccc(Nc3cc4c(ccn4C4CCCC4)cn3)n2)CC1,392.5070000000003,4.300200000000003,1,6,68.1,0.698180884095537,2.7581438123977904,c1cc(Nc2cc3c(ccn3C3CCCC3)cn2)nc(N2CCCCC2)n1,False,True,False,False,False,False,False,True,True,False,False
Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)[C@H]4CCCN4C)C5)ncc3F)cc2n1C1CC1,544.6100000000002,4.532320000000004,1,7,92.07,0.39470075763460777,3.632734918741237,O=C([C@H]1CCCN1)N1CCc2nc(Nc3nccc(-c4ccc5ncn(C6CC6)c5c4)n3)ccc2C1,False,True,True,True,True,False,False,True,False,False,False
CS(=O)(=O)c1ccc(Nc2ncc(C(F)(F)F)c(OCCC(F)(F)F)n2)cc1,429.34200000000016,3.9737000000000027,1,6,81.18,0.7002411204508988,2.5851983138934322,c1ccc(Nc2ncccn2)cc1,False,True,False,False,True,False,False,True,False,False,False
