Molecule ChEMBL ID,Smiles,IC50_nM,pIC50
CHEMBL211628,CC1(c2nnc3ccc(-c4ocnc4-c4ccc(F)cc4F)cn23)CC1,0.7,9.15
CHEMBL257236,O=c1ccc2c(-c3ccccc3Cl)cc(O)cc2n1-c1c(Cl)cccc1Cl,0.7,9.15
CHEMBL3649497,Cc1cc(S(C)(=O)=O)ccc1-c1nncc2nc(Oc3ccc(F)cc3F)ccc12,0.7,9.15
CHEMBL4102854,CNC(=O)c1ccc2c(c1)C(=O)c1ccc(Nc3cc(NC(=O)c4ccccc4)c(F)cc3F)cc1CC2,0.7,9.15
CHEMBL209442,CC1(C)CC(Nc2nc(-c3ccccc3Cl)c3c(n2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC(C)(C)N1,0.7,9.15
CHEMBL1916361,CN1CCC(c2cc(-c3ccc(F)cc3Cl)c3cc[n+]([O-])c(-c4c(Cl)cccc4Cl)c3n2)CC1,0.72,9.14
CHEMBL564912,O=C1CCc2c(-c3ccc(F)cc3F)cc(C3CCNCC3)cc2N1c1c(Cl)cccc1Cl,0.74,9.13
CHEMBL388582,O=C1CCc2ccccc2N1,0.74,9.13
CHEMBL3701784,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(c1)NC(=O)C21CCC(C)(O)CC1,0.8,9.1
CHEMBL214138,CC(C)(C)CNc1nc(-c2ccccc2Cl)c2c(n1)N(c1c(Cl)cccc1Cl)C(=O)NC2,0.8,9.1
CHEMBL1825157,Cc1ccc(C(=O)NC2CC2)cc1-c1cc2c(cn1)C1(CCCC1)C(=O)N2,0.8,9.1
CHEMBL492265,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(-c3ccccc3C)nncc2c1,0.8,9.1
CHEMBL4062023,C=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3cc(-c4[nH]c(SC)nc4-c4ccc(F)cc4)ccn3)cc2)c1,0.8,9.1
CHEMBL5207264,CC(C)c1nnc2ccc(O[C@@H]3CC[C@H](NC(=O)Nc4cc(C(C)(C)C)nn4-c4cccc(OCCN(C)C)c4)c4ccccc43)cn12,0.8,9.1
CHEMBL2401995,Cc1ccc(C(=O)NC2CC2)cc1NC(=O)c1ccc(-c2ccc(C(=O)N3CCCCC3)cc2)s1,0.8,9.1
CHEMBL4075759,COC(=O)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)c(NC(=O)c4ccccc4)c3)cc1CC2,0.8,9.1
CHEMBL4093914,O=C(NCC(O)CO)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)c(NC(=O)c4ccccc4)c3)cc1CC2,0.8,9.1
CHEMBL5197124,CC(C)(C)c1cc(NC(=O)N[C@H]2CC[C@@H](Oc3ccc4nnc(N5CCCCC5)n4c3)c3ccccc32)n(-c2cccc(CN3CCNCC3)c2)n1,0.8,9.1
CHEMBL493708,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(O[C@H](C)C(F)(F)F)nncc2c1,0.8,9.1
CHEMBL1738839,[O-][n+]1ccc2c(-c3ccc(F)cc3F)cc(C3CCNCC3)nc2c1-c1c(Cl)cccc1Cl,0.82,9.09
CHEMBL200047,CC(C)(C(=O)O)N1CCC(c2cc(-c3ccc(F)cc3Cl)c3ccc(=O)n(-c4c(Cl)cccc4Cl)c3c2)CC1,0.84,9.08
CHEMBL1825154,Cc1ccc(C(=O)Nc2ccon2)cc1-c1ccc2c(c1)NC(=O)C21CCC(F)(F)CC1,0.9,9.05
CHEMBL196210,CC(C)n1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cc21,0.9,9.05
CHEMBL3649499,Cc1ccccc1-c1nncc2nc(Oc3ccc(F)cc3)ccc12,0.9,9.05
CHEMBL401164,CCCNC(=O)c1cn2ncnc(Nc3cc(C(=O)NOC)ccc3C)c2c1C,0.9,9.05
