mol_id,chembl_id,smiles,ic50_nM,pIC50
mol_0427,CHEMBL2158858,CNC(=O)Nc1ccc(-c2cc(-c3ccnc(Nc4cccc(S(N)(=O)=O)c4)n3)ccn2)cc1,23.0,7.64
mol_0428,CHEMBL309767,NCCS(=O)(=O)c1cc(-c2ccc[nH]2)c2c3c(ccc(F)c13)NC2=O,23.0,7.64
mol_0429,CHEMBL3357951,C[C@@H](NC(=O)N1CCc2cnc(Nc3ccnn3C)nc2C1)c1ccc(Cl)c(Cl)c1,23.0,7.64
mol_0430,CHEMBL4753350,C=CC(=O)Nc1ccc(C(=O)N2CCCC(Nc3ncc(/C=C/c4ncc(C(C)(C)C)o4)s3)C2)cc1,22.9,7.64
mol_0431,CHEMBL6168381,Cc1cc(C)cc(NNC(=O)[C@H]2CCCN2C(=O)Nc2ccc(C(F)(F)F)cc2)c1,23.0,7.64
mol_0432,CHEMBL5281464,Cc1c(C(=O)NCCc2ccc(N3CCOCC3)cc2)[nH]c2ccc(Cl)cc12,23.0,7.64
mol_0433,CHEMBL514913,CCn1c(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)cnc1C,23.0,7.64
mol_0434,CHEMBL5858311,C=CC(=O)Nc1ccc(C(=O)N2CCC[C@@H](Nc3ncc(/C=C/c4ncc(C(C)(C)C)o4)s3)C2)cc1,22.9,7.64
mol_0435,CHEMBL5775091,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCS(C)(=O)=NC#N)C5)ncc3F)cc2n1C(C)C,23.6,7.63
mol_0436,CHEMBL103285,NS(=O)(=O)c1ccc(Nc2cc(-c3cccc(Br)c3)[nH]n2)cc1,23.4,7.63
mol_0437,CHEMBL4753717,CN(C)CC/C=C/C(=O)Nc1ccc(C(=O)N2CCCC(C(=O)Nc3ncc(SCc4ncc(C(C)(C)C)o4)s3)C2)cc1,23.3,7.63
mol_0438,CHEMBL5289560,CCc1c(C(=O)NCCc2ccc(N3CCOCC3)cc2)[nH]c2ccc(C(F)(F)F)cc12,24.0,7.62
mol_0439,CHEMBL1081628,N[C@H](CNc1nnc(-c2ccc3[nH]ncc3c2)s1)Cc1ccc(C(F)(F)F)cc1,24.0,7.62
mol_0440,CHEMBL560818,Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3)ncc1CC2(C)C,24.0,7.62
